areaCode,areaName,areaType,date,cumVaccinationCompleteCoverageByPublishDatePercentage
K02000001,United Kingdom,overview,2021-05-22,41.7
K02000001,United Kingdom,overview,2021-05-21,40.6
K02000001,United Kingdom,overview,2021-05-20,39.8
K02000001,United Kingdom,overview,2021-05-19,39.1
K02000001,United Kingdom,overview,2021-05-18,38.4
K02000001,United Kingdom,overview,2021-05-17,37.8
K02000001,United Kingdom,overview,2021-05-16,37.3
K02000001,United Kingdom,overview,2021-05-15,37.0
K02000001,United Kingdom,overview,2021-05-14,36.3
K02000001,United Kingdom,overview,2021-05-13,35.5
K02000001,United Kingdom,overview,2021-05-12,34.8
K02000001,United Kingdom,overview,2021-05-11,33.9
K02000001,United Kingdom,overview,2021-05-10,33.3
K02000001,United Kingdom,overview,2021-05-09,32.9
K02000001,United Kingdom,overview,2021-05-08,32.5
K02000001,United Kingdom,overview,2021-05-07,31.7
K02000001,United Kingdom,overview,2021-05-06,30.8
K02000001,United Kingdom,overview,2021-05-05,30.0
K02000001,United Kingdom,overview,2021-05-04,29.2
K02000001,United Kingdom,overview,2021-05-03,28.8
K02000001,United Kingdom,overview,2021-05-02,28.5
K02000001,United Kingdom,overview,2021-05-01,28.2
K02000001,United Kingdom,overview,2021-04-30,27.5
K02000001,United Kingdom,overview,2021-04-29,26.7
K02000001,United Kingdom,overview,2021-04-28,25.8
K02000001,United Kingdom,overview,2021-04-27,25.0
K02000001,United Kingdom,overview,2021-04-26,24.3
K02000001,United Kingdom,overview,2021-04-25,23.7
K02000001,United Kingdom,overview,2021-04-24,23.2
K02000001,United Kingdom,overview,2021-04-23,22.2
K02000001,United Kingdom,overview,2021-04-22,21.4
K02000001,United Kingdom,overview,2021-04-21,20.6
K02000001,United Kingdom,overview,2021-04-20,19.8
K02000001,United Kingdom,overview,2021-04-19,19.2
K02000001,United Kingdom,overview,2021-04-18,18.7
K02000001,United Kingdom,overview,2021-04-17,18.3
K02000001,United Kingdom,overview,2021-04-16,17.4
K02000001,United Kingdom,overview,2021-04-15,16.4
K02000001,United Kingdom,overview,2021-04-14,15.7
K02000001,United Kingdom,overview,2021-04-13,15.0
K02000001,United Kingdom,overview,2021-04-12,14.5
K02000001,United Kingdom,overview,2021-04-11,14.1
K02000001,United Kingdom,overview,2021-04-10,13.7
K02000001,United Kingdom,overview,2021-04-09,12.9
K02000001,United Kingdom,overview,2021-04-08,12.0
K02000001,United Kingdom,overview,2021-04-07,11.2
K02000001,United Kingdom,overview,2021-04-06,10.5
K02000001,United Kingdom,overview,2021-04-05,10.1
K02000001,United Kingdom,overview,2021-04-04,10.0
K02000001,United Kingdom,overview,2021-04-03,9.9
K02000001,United Kingdom,overview,2021-04-02,9.6
K02000001,United Kingdom,overview,2021-04-01,9.1
K02000001,United Kingdom,overview,2021-03-31,8.3
K02000001,United Kingdom,overview,2021-03-30,7.6
K02000001,United Kingdom,overview,2021-03-29,7.1
K02000001,United Kingdom,overview,2021-03-28,6.8
K02000001,United Kingdom,overview,2021-03-27,6.5
K02000001,United Kingdom,overview,2021-03-26,6.1
K02000001,United Kingdom,overview,2021-03-25,5.5
K02000001,United Kingdom,overview,2021-03-24,5.1
K02000001,United Kingdom,overview,2021-03-23,4.7
K02000001,United Kingdom,overview,2021-03-22,4.3
K02000001,United Kingdom,overview,2021-03-21,4.2
K02000001,United Kingdom,overview,2021-03-20,4.1
K02000001,United Kingdom,overview,2021-03-19,3.9
K02000001,United Kingdom,overview,2021-03-18,3.7
K02000001,United Kingdom,overview,2021-03-17,3.5
K02000001,United Kingdom,overview,2021-03-16,3.2
K02000001,United Kingdom,overview,2021-03-15,3.1
K02000001,United Kingdom,overview,2021-03-14,3.0
K02000001,United Kingdom,overview,2021-03-13,2.9
K02000001,United Kingdom,overview,2021-03-12,2.8
K02000001,United Kingdom,overview,2021-03-11,2.7
K02000001,United Kingdom,overview,2021-03-10,2.5
K02000001,United Kingdom,overview,2021-03-09,2.3
K02000001,United Kingdom,overview,2021-03-08,2.2
K02000001,United Kingdom,overview,2021-03-07,2.1
K02000001,United Kingdom,overview,2021-03-06,2.1
K02000001,United Kingdom,overview,2021-03-05,2.0
K02000001,United Kingdom,overview,2021-03-04,1.9
K02000001,United Kingdom,overview,2021-03-03,1.8
K02000001,United Kingdom,overview,2021-03-02,1.6
K02000001,United Kingdom,overview,2021-03-01,1.6
K02000001,United Kingdom,overview,2021-02-28,1.5
K02000001,United Kingdom,overview,2021-02-27,1.5
K02000001,United Kingdom,overview,2021-02-26,1.4
K02000001,United Kingdom,overview,2021-02-25,1.4
K02000001,United Kingdom,overview,2021-02-24,1.3
K02000001,United Kingdom,overview,2021-02-23,1.2
K02000001,United Kingdom,overview,2021-02-22,1.2
K02000001,United Kingdom,overview,2021-02-21,1.1
K02000001,United Kingdom,overview,2021-02-20,1.1
K02000001,United Kingdom,overview,2021-02-19,1.1
K02000001,United Kingdom,overview,2021-02-18,1.1
K02000001,United Kingdom,overview,2021-02-17,1.1
K02000001,United Kingdom,overview,2021-02-16,1.0
K02000001,United Kingdom,overview,2021-02-15,1.0
K02000001,United Kingdom,overview,2021-02-14,1.0
K02000001,United Kingdom,overview,2021-02-13,1.0
K02000001,United Kingdom,overview,2021-02-12,1.0
K02000001,United Kingdom,overview,2021-02-11,1.0
K02000001,United Kingdom,overview,2021-02-10,1.0
K02000001,United Kingdom,overview,2021-02-09,1.0
K02000001,United Kingdom,overview,2021-02-08,1.0
K02000001,United Kingdom,overview,2021-02-07,0.9
K02000001,United Kingdom,overview,2021-02-06,0.9
K02000001,United Kingdom,overview,2021-02-05,0.9
K02000001,United Kingdom,overview,2021-02-04,0.9
K02000001,United Kingdom,overview,2021-02-03,0.9
